"","x"
"1252","SDHA"
"1253","PDCD6"
"1254","BRD9"
"1255","TRIP13"
"1256","SLC12A7"
"1257","CLPTM1L"
"1258","LPCAT1"
"1259","MRPL36"
"1260","NDUFS6"
"1261","MED10"
"1262","NSUN2"
"1263","SRD5A1"
"1264","MIR4458HG"
"1265","SNHG18"
"1266","CCT5"
"1267","DAP"
"1268","TRIO"
"1269","FAM105A"
"1270","ZNF622"
"1271","MYO10"
"1272","BASP1"
"1273","ZFR"
"1274","SUB1"
"1275","TARS"
"1276","RAI14"
"1277","RAD1"
"1278","BRIX1"
"1279","DNAJC21"
"1280","SKP2"
"1281","NIPBL"
"1282","WDR70"
"1283","RPL37"
"1284","OXCT1"
"1285","ZNF131"
"1286","PAIP1"
"1287","NNT-AS1"
"1288","MRPS30"
"1289","PELO"
"1290","MOCS2"
"1291","NDUFS4"
"1292","GPX8"
"1293","CCNO"
"1294","DHX29"
"1295","SKIV2L2"
"1296","GPBP1"
"1297","PLK2"
"1298","DEPDC1B"
"1299","NDUFAF2"
"1300","SMIM15"
"1301","KIF2A"
"1302","DIMT1"
"1303","SREK1IP1"
"1304","CWC27"
"1305","CENPK"
"1306","ERBB2IP"
"1307","SREK1"
"1308","MAST4"
"1309","SLC30A5"
"1310","CCNB1"
"1311","CENPH"
"1312","MRPS36"
"1313","CDK7"
"1314","RAD17"
"1315","GTF2H2"
"1316","BDP1"
"1317","MCCC2"
"1318","MAP1B"
"1319","MRPS27"
"1320","TNPO1"
"1321","BTF3"
"1322","UTP15"
"1323","ENC1"
"1324","HEXB"
"1325","NSA2"
"1326","F2RL1"
"1327","AGGF1"
"1328","WDR41"
"1329","TBCA"
"1330","AP3B1"
"1331","HOMER1"
"1332","CTD-2015H6.3"
"1333","DHFR"
"1334","ZCCHC9"
"1335","ATG10"
"1336","RPS23"
"1337","TMEM167A"
"1338","COX7C"
"1339","CCNH"
"1340","CETN3"
"1341","POLR3G"
"1342","NR2F1"
"1343","FAM172A"
"1344","RHOBTB3"
"1345","GLRX"
"1346","CAST"
"1347","RIOK2"
"1348","CHD1"
"1349","FAM174A"
"1350","C5orf30"
"1351","EPB41L4A-AS1"
"1352","SRP19"
"1353","REEP5"
"1354","DCP2"
"1355","CCDC112"
"1356","TMED7"
"1357","ATG12"
"1358","AP3S1"
"1359","COMMD10"
"1360","HSD17B4"
"1361","SNX2"
"1362","SNX24"
"1363","PPIC"
"1364","CSNK1G3"
"1365","ALDH7A1"
"1366","PHAX"
"1367","LMNB1"
"1368","ISOC1"
"1369","HINT1"
"1370","LYRM7"
"1371","P4HA2"
"1372","IRF1"
"1373","RAD50"
"1374","KIF3A"
"1375","UQCRQ"
"1376","AFF4"
"1377","ZCCHC10"
"1378","HSPA4"
"1379","C5orf15"
"1380","VDAC1"
"1381","TCF7"
"1382","SKP1"
"1383","PPP2CA"
"1384","UBE2B"
"1385","CDKN2AIPNL"
"1386","SAR1B"
"1387","CAMLG"
"1388","DDX46"
"1389","C5orf24"
"1390","TXNDC15"
"1391","PCBD2"
"1392","PITX1"
"1393","H2AFY"
"1394","TGFBI"
"1395","SMAD5"
"1396","HNRNPA0"
"1397","BRD8"
"1398","CDC23"
"1399","CDC25C"
"1400","FAM53C"
"1401","EGR1"
"1402","ETF1"
"1403","HSPA9"
"1404","CTNNA1"
"1405","SIL1"
"1406","PAIP2"
"1407","UBE2D2"
"1408","CXXC5"
"1409","PURA"
"1410","CYSTM1"
"1411","PFDN1"
"1412","HBEGF"
"1413","SRA1"
"1414","SLC35A4"
"1415","NDUFA2"
"1416","IK"
"1417","HARS"
"1418","ZMAT2"
"1419","TAF7"
"1420","DIAPH1"
"1421","HDAC3"
"1422","RNF14"
"1423","GNPDA1"
"1424","NDFIP1"
"1425","NR3C1"
"1426","YIPF5"
"1427","SH3RF2"
"1428","LARS"
"1429","TCERG1"
"1430","CSNK1A1"
"1431","HMGXB3"
"1432","TCOF1"
"1433","RPS14"
"1434","RBM22"
"1435","TNIP1"
"1436","ATOX1"
"1437","G3BP1"
"1438","LARP1"
"1439","MRPL22"
"1440","THG1L"
"1441","CLINT1"
"1442","RNF145"
"1443","UBLCP1"
"1444","TTC1"
"1445","SLU7"
"1446","PTTG1"
"1447","CCNG1"
"1448","NUDCD2"
"1449","HMMR"
"1450","MAT2B"
"1451","WWC1"
"1452","RARS"
"1453","SPDL1"
"1454","NPM1"
"1455","DUSP1"
"1456","ERGIC1"
"1457","RPL26L1"
"1458","ATP6V0E1"
"1459","BNIP1"
"1460","STC2"
"1461","BOD1"
"1462","SFXN1"
"1463","THOC3"
"1464","KIAA1191"
"1465","NOP16"
"1466","HIGD2A"
"1467","CLTB"
"1468","FAF2"
"1469","TSPAN17"
"1470","NSD1"
"1471","MXD3"
"1472","PRELID1"
"1473","LMAN2"
"1474","RGS14"
"1475","F12"
"1476","GRK6"
"1477","PRR7"
"1478","DBN1"
"1479","PDLIM7"
"1480","DDX41"
"1481","TMED9"
"1482","B4GALT7"
"1483","RMND5B"
"1484","NHP2"
"1485","HNRNPAB"
"1486","ZNF354A"
"1487","RUFY1"
"1488","HNRNPH1"
"1489","CANX"
"1490","MGAT4B"
"1491","SQSTM1"
"1492","TBC1D9B"
"1493","RNF130"
"1494","MAPK9"
"1495","CTB-129O4.1"
"1496","MGAT1"
"1497","TRIM7"
"1498","GNB2L1"
"1499","GMDS"
"1500","SERPINB1"
"1501","SERPINB6"
"1502","NQO2"
"1503","TUBB2A"
"1504","PSMG4"
"1505","PRPF4B"
"1506","ECI2"
"1507","RPP40"
"1508","LYRM4"
"1509","SSR1"
"1510","RIOK1"
"1511","DSP"
"1512","SNRNP48"
"1513","EEF1E1"
"1514","PAK1IP1"
"1515","TMEM14C"
"1516","TMEM14B"
"1517","EDN1"
"1518","TBC1D7"
"1519","NOL7"
"1520","MCUR1"
"1521","TPMT"
"1522","DEK"
"1523","SOX4"
"1524","MRS2"
"1525","TDP2"
"1526","ACOT13"
"1527","GMNN"
"1528","HIST1H1C"
"1529","HIST1H4C"
"1530","HIST1H2BC"
"1531","HIST1H2AC"
"1532","HIST1H2BD"
"1533","ABT1"
"1534","HIST1H2BJ"
"1535","RP1-313I6.12"
"1536","TRIM27"
"1537","HLA-A"
"1538","ZNRD1"
"1539","PPP1R11"
"1540","RPP21"
"1541","HLA-E"
"1542","GNL1"
"1543","ABCF1"
"1544","PPP1R10"
"1545","MRPS18B"
"1546","TUBB"
"1547","FLOT1"
"1548","IER3"
"1549","HLA-C"
"1550","HLA-B"
"1551","MICA"
"1552","NFKBIL1"
"1553","PRRC2A"
"1554","BAG6"
"1555","GPANK1"
"1556","CSNK2B"
"1557","DDAH2"
"1558","CLIC1"
"1559","VARS"
"1560","LSM2"
"1561","HSPA1A"
"1562","HSPA1B"
"1563","C6orf48"
"1564","NEU1"
"1565","NELFE"
"1566","ATF6B"
"1567","AGPAT1"
"1568","RNF5"
"1569","PSMB8"
"1570","PSMB9"
"1571","BRD2"
"1572","SLC39A7"
"1573","HSD17B8"
"1574","RPS18"
"1575","WDR46"
"1576","PFDN6"
"1577","TAPBP"
"1578","DAXX"
"1579","KIFC1"
"1580","CUTA"
"1581","UQCC2"
"1582","HMGA1"
"1583","C6orf1"
"1584","NUDT3"
"1585","RPS10"
"1586","SNRPC"
"1587","TAF11"
"1588","PPARD"
"1589","RPL10A"
"1590","SRPK1"
"1591","KCTD20"
"1592","SRSF3"
"1593","CDKN1A"
"1594","PPIL1"
"1595","C6orf89"
"1596","MTCH1"
"1597","PIM1"
"1598","RNF8"
"1599","CCDC167"
"1600","ZFAND3"
"1601","GLO1"
"1602","SAYSD1"
"1603","OARD1"
"1604","BYSL"
"1605","CCND3"
"1606","TAF8"
"1607","C6orf132"
"1608","MRPS10"
"1609","TBCC"
"1610","RPL7L1"
"1611","C6orf226"
"1612","CNPY3"
"1613","MEA1"
"1614","KLHDC3"
"1615","RRP36"
"1616","MRPL2"
"1617","DNPH1"
"1618","POLR1C"
"1619","YIPF3"
"1620","MAD2L1BP"
"1621","MRPS18A"
"1622","MRPL14"
"1623","SLC29A1"
"1624","HSP90AB1"
"1625","SLC35B2"
"1626","CDC5L"
"1627","MCM3"
"1628","TMEM14A"
"1629","FBXO9"
"1630","ELOVL5"
"1631","GCLC"
"1632","DST"
"1633","BAG2"
"1634","PTP4A1"
"1635","SMAP1"
"1636","OGFRL1"
"1637","EEF1A1"
"1638","COX7A2"
"1639","TMEM30A"
"1640","SENP6"
"1641","MYO6"
"1642","PHIP"
"1643","HMGN3"
"1644","TTK"
"1645","TPBG"
"1646","ME1"
"1647","CYB5R4"
"1648","NT5E"
"1649","SYNCRIP"
"1650","ZNF292"
"1651","RARS2"
"1652","AKIRIN2"
"1653","PNRC1"
"1654","UBE2J1"
"1655","LYRM2"
"1656","UFL1"
"1657","NDUFAF4"
"1658","COQ3"
"1659","PNISR"
"1660","CCNC"
"1661","ATG5"
"1662","SEC63"
"1663","SNX3"
"1664","FOXO3"
"1665","CEP57L1"
"1666","CD164"
"1667","CDC40"
"1668","AMD1"
"1669","GTF3C6"
"1670","RPF2"
"1671","FAM229B"
"1672","HDAC2"
"1673","NT5DC1"
"1674","RWDD1"
"1675","GOPC"
"1676","NUS1"
"1677","ASF1A"
"1678","HDDC2"
"1679","NCOA7"
"1680","CENPW"
"1681","ECHDC1"
"1682","ARHGAP18"
"1683","CTGF"
"1684","STX7"
"1685","RPS12"
"1686","TBPL1"
"1687","HBS1L"
"1688","AHI1"
"1689","BCLAF1"
"1690","IFNGR1"
"1691","PERP"
"1692","HEBP2"
"1693","ABRACL"
"1694","CITED2"
"1695","AIG1"
"1696","FUCA2"
"1697","PHACTR2"
"1698","LTV1"
"1699","SF3B5"
"1700","RAB32"
"1701","PPIL4"
"1702","GINM1"
"1703","KATNA1"
"1704","PCMT1"
"1705","MTHFD1L"
"1706","AKAP12"
"1707","FBXO5"
"1708","MTRF1L"
"1709","TFB1M"
"1710","TMEM242"
"1711","SNX9"
"1712","GTF2H5"
"1713","DYNLT1"
"1714","EZR"
"1715","SOD2"
"1716","WTAP"
"1717","ACAT2"
"1718","TCP1"
"1719","MRPL18"
"1720","SFT2D1"
"1721","MPC1"
"1722","RNASET2"
"1723","MLLT4"
"1724","PHF10"
"1725","PSMB1"
"1726","PDCD2"
"1727","PRKAR1B"
"1728","SUN1"
"1729","ADAP1"
"1730","COX19"
"1731","C7orf50"
"1732","ZFAND2A"
"1733","INTS1"
"1734","MAFK"
"1735","PSMG3"
"1736","MAD1L1"
"1737","FTSJ2"
"1738","NUDT1"
"1739","SNX8"
"1740","EIF3B"
"1741","CHST12"
"1742","RBAK-RBAKDN"
"1743","WIPI2"
"1744","ACTB"
"1745","FSCN1"
"1746","RNF216"
"1747","CCZ1"
"1748","AIMP2"
"1749","EIF2AK1"
"1750","RAC1"
"1751","KDELR2"
"1752","ZDHHC4"
"1753","C1GALT1"
"1754","MIOS"
"1755","RPA3"
"1756","ICA1"
"1757","NDUFA4"
"1758","PHF14"
"1759","TMEM106B"
"1760","ARL4A"
"1761","BZW2"
"1762","TWISTNB"
"1763","CDCA7L"
"1764","TOMM7"
"1765","FAM126A"
"1766","NUPL2"
"1767","MALSU1"
"1768","TRA2A"
"1769","MPP6"
"1770","OSBPL3"
"1771","CYCS"
"1772","HNRNPA2B1"
"1773","CBX3"
"1774","SKAP2"
"1775","HIBADH"
"1776","TAX1BP1"
"1777","SCRN1"
"1778","GGCT"
"1779","GARS"
"1780","LSM5"
"1781","NT5C3A"
"1782","RP9"
"1783","ANLN"
"1784","STARD3NL"
"1785","RALA"
"1786","MPLKIP"
"1787","MRPL32"
"1788","STK17A"
"1789","COA1"
"1790","BLVRA"
"1791","UBE2D4"
"1792","DBNL"
"1793","POLM"
"1794","POLD2"
"1795","YKT6"
"1796","DDX56"
"1797","TMED4"
"1798","PPIA"
"1799","H2AFV"
"1800","SNHG15"
"1801","CCM2"
"1802","TBRG4"
"1803","HUS1"
"1804","UPP1"
"1805","SEC61G"
"1806","VOPP1"
"1807","GBAS"
"1808","PSPH"
"1809","CCT6A"
"1810","SUMF2"
"1811","CHCHD2"
"1812","ZNF680"
"1813","ZNF273"
"1814","ZNF117"
"1815","ERV3-1"
"1816","VKORC1L1"
"1817","GUSB"
"1818","ASL"
"1819","RP11-792A8.4"
"1820","TMEM248"
"1821","SBDS"
"1822","POM121"
"1823","NSUN5"
"1824","BAZ1B"
"1825","BCL7B"
"1826","TBL2"
"1827","DNAJC30"
"1828","WBSCR22"
"1829","ABHD11"
"1830","EIF4H"
"1831","RFC2"
"1832","RHBDD2"
"1833","POR"
"1834","STYXL1"
"1835","MDH2"
"1836","HSPB1"
"1837","YWHAG"
"1838","PTPN12"
"1839","RSBN1L"
"1840","TMEM60"
"1841","SEMA3C"
"1842","TMEM243"
"1843","TP53TG1"
"1844","DBF4"
"1845","SRI"
"1846","STEAP1"
"1847","AKAP9"
"1848","KRIT1"
"1849","GATAD1"
"1850","FAM133B"
"1851","CDK6"
"1852","BET1"
"1853","PON2"
"1854","SHFM1"
"1855","ASNS"
"1856","BRI3"
"1857","BAIAP2L1"
"1858","ARPC1A"
"1859","ARPC1B"
"1860","PDAP1"
"1861","BUD31"
"1862","CPSF4"
"1863","ATP5J2"
"1864","ZNF394"
"1865","ZNF655"
"1866","ZKSCAN1"
"1867","ZNF3"
"1868","COPS6"
"1869","MCM7"
"1870","AP4M1"
"1871","TAF6"
"1872","LAMTOR4"
"1873","PILRB"
"1874","MEPCE"
"1875","PPP1R35"
"1876","TSC22D4"
"1877","MOSPD3"
"1878","GNB2"
"1879","POP7"
"1880","TRIP6"
"1881","SRRT"
"1882","TRIM56"
"1883","AP1S1"
"1884","VGF"
"1885","PLOD3"
"1886","ZNHIT1"
"1887","FIS1"
"1888","CUX1"
"1889","PRKRIP1"
"1890","ORAI2"
"1891","ALKBH4"
"1892","LRWD1"
"1893","POLR2J"
"1894","POLR2J3"
"1895","ARMC10"
"1896","PMPCB"
"1897","DNAJC2"
"1898","PSMC2"
"1899","KMT2E"
"1900","SRPK2"
"1901","SYPL1"
"1902","NAMPT"
"1903","BCAP29"
"1904","DLD"
"1905","DNAJB9"
"1906","IFRD1"
"1907","LINC00998"
"1908","TES"
"1909","CAV2"
"1910","CAV1"
"1911","CAPZA2"
"1912","FAM3C"
"1913","NDUFA5"
"1914","ARF5"
"1915","SND1"
"1916","IMPDH1"
"1917","HILPDA"
"1918","CALU"
"1919","ATP6V1F"
"1920","TNPO3"
"1921","UBE2H"
"1922","CHCHD3"
"1923","AKR1B1"
"1924","CALD1"
"1925","C7orf49"
"1926","CNOT4"
"1927","C7orf73"
"1928","MTPN"
"1929","ZC3HAV1"
"1930","C7orf55"
"1931","MKRN1"
"1932","NDUFB2"
"1933","MRPS33"
"1934","SSBP1"
"1935","GSTK1"
"1936","AC093673.5"
"1937","ZYX"
"1938","CUL1"
"1939","EZH2"
"1940","PDIA4"
"1941","ATP6V0E2"
"1942","REPIN1"
"1943","CDK5"
"1944","SLC4A2"
"1945","FASTK"
"1946","TMUB1"
"1947","ABCF2"
"1948","NUB1"
"1949","RHEB"
"1950","PRKAG2"
"1951","LINC01003"
"1952","INSIG1"
"1953","RBM33"
"1954","LMBR1"
"1955","NOM1"
"1956","UBE3C"
"1957","DNAJB6"
"1958","GTPBP6"
"1959","SLC25A6"
"1960","DHRSX"
"1961","CD99"
"1962","PRKX"
"1963","PNPLA4"
"1964","TBL1X"
"1965","WWC3"
"1966","MID1"
"1967","HCCS"
"1968","MSL3"
"1969","PRPS2"
"1970","TMSB4X"
"1971","RAB9A"
"1972","OFD1"
"1973","GEMIN8"
"1974","PIR"
"1975","AP1S2"
"1976","SYAP1"
"1977","TXLNG"
"1978","RBBP7"
"1979","SCML1"
"1980","PDHA1"
"1981","SH3KBP1"
"1982","EIF1AX"
"1983","SMS"
"1984","PRDX4"
"1985","ACOT9"
"1986","SAT1"
"1987","APOO"
"1988","EIF2S3"
"1989","DYNLT3"
"1990","MID1IP1"
"1991","ATP6AP2"
"1992","DDX3X"
"1993","FUNDC1"
"1994","NDUFB11"
"1995","RBM10"
"1996","UBA1"
"1997","CDK16"
"1998","TIMP1"
"1999","UXT"
"2000","FTSJ1"
"2001","EBP"
"2002","RBM3"
"2003","WDR13"
"2004","PCSK1N"
"2005","TIMM17B"
"2006","PQBP1"
"2007","PRAF2"
"2008","WDR45"
"2009","PLP2"
"2010","MAGED1"
"2011","SMC1A"
"2012","HSD17B10"
"2013","HUWE1"
"2014","TSR2"
"2015","MAGED2"
"2016","FAM104B"
"2017","LAS1L"
"2018","MSN"
"2019","YIPF6"
"2020","IGBP1"
"2021","PDZD11"
"2022","KIF4A"
"2023","NONO"
"2024","PIN4"
"2025","RPS4X"
"2026","JPX"
"2027","PBDC1"
"2028","ATRX"
"2029","COX7B"
"2030","PGK1"
"2031","SH3BGRL"
"2032","TSPAN6"
"2033","TIMM8A"
"2034","RPL36A"
"2035","GLA"
"2036","HNRNPH2"
"2037","ARMCX3"
"2038","TCEAL8"
"2039","TCEAL4"
"2040","MORF4L2"
"2041","PRPS1"
"2042","TSC22D3"
"2043","ALG13"
"2044","PLS3"
"2045","IL13RA1"
"2046","PGRMC1"
"2047","SLC25A5"
"2048","UBE2A"
"2049","RPL39"
"2050","UPF3B"
"2051","NDUFA1"
"2052","NKAP"
"2053","LAMP2"
"2054","MCTS1"
"2055","C1GALT1C1"
"2056","THOC2"
"2057","RBMX2"
"2058","HPRT1"
"2059","MOSPD1"
"2060","SMIM10"
"2061","FAM127B"
"2062","HTATSF1"
"2063","RBMX"
"2064","IDS"
"2065","HMGB3"
"2066","VMA21"
"2067","CETN2"
"2068","BCAP31"
"2069","IDH3G"
"2070","SSR4"
"2071","NAA10"
"2072","HCFC1"
"2073","IRAK1"
"2074","MECP2"
"2075","FLNA"
"2076","EMD"
"2077","RPL10"
"2078","ATP6AP1"
"2079","GDI1"
"2080","FAM50A"
"2081","LAGE3"
"2082","UBL4A"
"2083","G6PD"
"2084","DKC1"
"2085","FUNDC2"
"2086","VBP1"
"2087","VAMP7"
"2088","FBXO25"
"2089","ERICH1"
"2090","CLN8"
"2091","AGPAT5"
"2092","PINX1"
"2093","FDFT1"
"2094","CTSB"
"2095","CNOT7"
"2096","VPS37A"
"2097","PCM1"
"2098","ASAH1"
"2099","SH2D4A"
"2100","INTS10"
"2101","REEP4"
"2102","SORBS3"
"2103","PDLIM2"
"2104","TNFRSF10B"
"2105","R3HCC1"
"2106","SLC25A37"
"2107","DOCK5"
"2108","CDCA2"
"2109","PPP2R2A"
"2110","BNIP3L"
"2111","CLU"
"2112","CCDC25"
"2113","PBK"
"2114","RP11-489E7.4"
"2115","LEPROTL1"
"2116","DCTN6"
"2117","RBPMS"
"2118","GTF2E2"
"2119","GSR"
"2120","PPP2CB"
"2121","NRG1"
"2122","PROSC"
"2123","RAB11FIP1"
"2124","EIF4EBP1"
"2125","LSM1"
"2126","WHSC1L1"
"2127","TM2D2"
"2128","ADAM9"
"2129","GOLGA7"
"2130","VDAC3"
"2131","SLC20A2"
"2132","SMIM19"
"2133","FNTA"
"2134","HGSNAT"
"2135","CEBPD"
"2136","PRKDC"
"2137","MCM4"
"2138","UBE2V2"
"2139","RB1CC1"
"2140","ATP6V1H"
"2141","RGS20"
"2142","TCEA1"
"2143","LYPLA1"
"2144","MRPL15"
"2145","TMEM68"
"2146","TGS1"
"2147","LYN"
"2148","RPS20"
"2149","CHCHD7"
"2150","IMPAD1"
"2151","SDCBP"
"2152","RAB2A"
"2153","CHD7"
"2154","ASPH"
"2155","GGH"
"2156","ARMC1"
"2157","MTFR1"
"2158","RRS1"
"2159","COPS5"
"2160","CSPP1"
"2161","TRAM1"
"2162","LACTB2"
"2163","TERF1"
"2164","RPL7"
"2165","TCEB1"
"2166","TMEM70"
"2167","PEX2"
"2168","MRPS28"
"2169","TPD52"
"2170","ZNF704"
"2171","FABP5"
"2172","ZFAND1"
"2173","CHMP4C"
"2174","C8orf59"
"2175","RMDN1"
"2176","CPNE3"
"2177","RIPK2"
"2178","OSGIN2"
"2179","NBN"
"2180","DECR1"
"2181","TRIQK"
"2182","FAM92A1"
"2183","TMEM67"
"2184","PDP1"
"2185","NDUFAF6"
"2186","UQCRB"
"2187","PTDSS1"
"2188","MTDH"
"2189","LAPTM4B"
"2190","RPL30"
"2191","HRSP12"
"2192","STK3"
"2193","OSR2"
"2194","COX6C"
"2195","POLR2K"
"2196","PABPC1"
"2197","YWHAZ"
"2198","ZNF706"
"2199","KLF10"
"2200","AZIN1"
"2201","ATP6V1C1"
"2202","FZD6"
"2203","DCAF13"
"2204","EIF3E"
"2205","EMC2"
"2206","NUDCD1"
"2207","ENY2"
"2208","EBAG9"
"2209","EIF3H"
"2210","UTP23"
"2211","RAD21"
"2212","MED30"
"2213","EXT1"
"2214","DSCC1"
"2215","MRPL13"
"2216","DERL1"
"2217","C8orf76"
"2218","ATAD2"
"2219","WDYHV1"
"2220","FBXO32"
"2221","RNF139"
"2222","TATDN1"
"2223","NDUFB9"
"2224","SQLE"
"2225","NSMCE2"
"2226","TRIB1"
"2227","MYC"
"2228","FAM49B"
"2229","ASAP1"
"2230","PHF20L1"
"2231","NDRG1"
"2232","CHRAC1"
"2233","AGO2"
"2234","THEM6"
"2235","LY6E"
"2236","MROH6"
"2237","EEF1D"
"2238","TSTA3"
"2239","FAM83H"
"2240","SCRIB"
"2241","PUF60"
"2242","PLEC"
"2243","GRINA"
"2244","EXOSC4"
"2245","GPAA1"
"2246","CYC1"
"2247","SHARPIN"
"2248","MAF1"
"2249","HSF1"
"2250","DGAT1"
"2251","SLC52A2"
"2252","SLC39A4"
"2253","VPS28"
"2254","CYHR1"
"2255","PPP1R16A"
"2256","MFSD3"
"2257","RECQL4"
"2258","C8orf82"
"2259","RPL8"
"2260","COMMD5"
"2261","C8orf33"
"2262","CBWD1"
"2263","GLIS3"
"2264","CDC37L1"
"2265","AK3"
"2266","RCL1"
"2267","PLGRKT"
"2268","TMEM261"
"2269","NFIB"
"2270","PSIP1"
"2271","RRAGA"
"2272","RPS6"
"2273","TUSC1"
"2274","IFT74"
"2275","TOPORS"
"2276","NDUFB6"
"2277","APTX"
"2278","DNAJA1"
"2279","SMU1"
"2280","B4GALT1"
"2281","BAG1"
"2282","CHMP5"
"2283","UBE2R2"
"2284","UBAP2"
"2285","UBAP1"
"2286","NUDT2"
"2287","RPP25L"
"2288","DCTN3"
"2289","SIGMAR1"
"2290","VCP"
"2291","STOML2"
"2292","CCDC107"
"2293","ARHGEF39"
"2294","TLN1"
"2295","CREB3"
"2296","HINT2"
"2297","CLTA"
"2298","MELK"
"2299","ZCCHC7"
"2300","GRHPR"
"2301","POLR1E"
"2302","TOMM5"
"2303","EXOSC3"
"2304","SHB"
"2305","CBWD5"
"2306","FAM122A"
"2307","FXN"
"2308","SMC5"
"2309","ZFAND5"
"2310","ANXA1"
"2311","C9orf40"
"2312","NMRK1"
"2313","OSTF1"
"2314","RFK"
"2315","CEP78"
"2316","PSAT1"
"2317","UBQLN1"
"2318","HNRNPK"
"2319","GOLM1"
"2320","ISCA1"
"2321","CTSL"
"2322","CKS2"
"2323","SECISBP2"
"2324","IARS"
"2325","NOL8"
"2326","NINJ1"
"2327","FAM120AOS"
"2328","FAM120A"
"2329","C9orf3"
"2330","SLC35D2"
"2331","HABP4"
"2332","AAED1"
"2333","CTSV"
"2334","XPA"
"2335","ANP32B"
"2336","NANS"
"2337","TBC1D2"
"2338","ALG2"
"2339","SEC61B"
"2340","ERP44"
"2341","MSANTD3"
"2342","MRPL50"
"2343","SMC2"
"2344","TMEM38B"
"2345","RAD23B"
"2346","KLF4"
"2347","CTNNAL1"
"2348","TMEM245"
"2349","TXN"
"2350","GNG10"
"2351","UGCG"
"2352","HSDL2"
"2353","INIP"
"2354","PRPF4"
"2355","HDHD3"
"2356","POLE3"
"2357","RGS3"
"2358","ATP6V1G1"
"2359","CDK5RAP2"
"2360","PHF19"
"2361","RAB14"
"2362","GSN"
"2363","STOM"
"2364","NDUFA8"
"2365","RBM18"
"2366","MRRF"
"2367","STRBP"
"2368","NEK6"
"2369","PSMB7"
"2370","RPL35"
"2371","ARPC5L"
"2372","PPP6C"
"2373","RABEPK"
"2374","HSPA5"
"2375","MAPKAP1"
"2376","ZBTB43"
"2377","SLC2A8"
"2378","RPL12"
"2379","FAM129B"
"2380","PTRH1"
"2381","TOR2A"
"2382","AK1"
"2383","ST6GALNAC6"
"2384","ST6GALNAC4"
"2385","DPM2"
"2386","PTGES2"
"2387","C9orf16"
"2388","CIZ1"
"2389","GOLGA2"
"2390","SWI5"
"2391","TRUB2"
"2392","COQ4"
"2393","URM1"
"2394","SPTAN1"
"2395","WDR34"
"2396","SET"
"2397","ZDHHC12"
"2398","RP11-545E17.3"
"2399","ENDOG"
"2400","C9orf114"
"2401","LRRC8A"
"2402","SH3GLB2"
"2403","PPP2R4"
"2404","NTMT1"
"2405","TOR1A"
"2406","C9orf78"
"2407","FNBP1"
"2408","NCS1"
"2409","ASS1"
"2410","FUBP3"
"2411","EXOSC2"
"2412","FIBCD1"
"2413","PRRC2B"
"2414","MED27"
"2415","TTF1"
"2416","GTF3C5"
"2417","SURF6"
"2418","RPL7A"
"2419","SURF1"
"2420","SURF2"
"2421","SURF4"
"2422","REXO4"
"2423","BRD3"
"2424","WDR5"
"2425","RXRA"
"2426","C9orf116"
"2427","MRPS2"
"2428","UBAC1"
"2429","C9orf69"
"2430","SDCCAG3"
